0	-0	1
0.1	-0.0998334	0.995004
0.2	-0.198669	0.980067
0.3	-0.29552	0.955336
0.4	-0.389418	0.921061
0.5	-0.479426	0.877583
0.6	-0.564642	0.825336
0.7	-0.644218	0.764842
0.8	-0.717356	0.696707
0.9	-0.783327	0.62161
1	-0.841471	0.540302
1.1	-0.891207	0.453596
1.2	-0.932039	0.362358
1.3	-0.963558	0.267499
1.4	-0.98545	0.169967
1.5	-0.997495	0.0707372
1.6	-0.999574	-0.0291995
1.7	-0.991665	-0.128844
1.8	-0.973848	-0.227202
1.9	-0.9463	-0.32329
2	-0.909297	-0.416147
2.1	-0.863209	-0.504846
2.2	-0.808496	-0.588501
2.3	-0.745705	-0.666276
2.4	-0.675463	-0.737394
2.5	-0.598472	-0.801144
2.6	-0.515501	-0.856889
2.7	-0.42738	-0.904072
2.8	-0.334988	-0.942222
2.9	-0.239249	-0.970958
3	-0.14112	-0.989992
3.1	-0.0415807	-0.999135
3.2	0.0583741	-0.998295
3.3	0.157746	-0.98748
3.4	0.255541	-0.966798
3.5	0.350783	-0.936457
3.6	0.44252	-0.896758
3.7	0.529836	-0.8481
3.8	0.611858	-0.790968
3.9	0.687766	-0.725932
4	0.756802	-0.653644
4.1	0.818277	-0.574824
4.2	0.871576	-0.490261
4.3	0.916166	-0.400799
4.4	0.951602	-0.307333
4.5	0.97753	-0.210796
4.6	0.993691	-0.112153
4.7	0.999923	-0.0123887
4.8	0.996165	0.087499
4.9	0.982453	0.186512
5	0.958924	0.283662
5.1	0.925815	0.377978
5.2	0.883455	0.468517
5.3	0.832267	0.554374
5.4	0.772764	0.634693
5.5	0.70554	0.70867
5.6	0.631267	0.775566
5.7	0.550686	0.834713
5.8	0.464602	0.88552
5.9	0.373877	0.927478
6	0.279415	0.96017
6.1	0.182163	0.983268
6.2	0.0830894	0.996542
6.3	-0.0168139	0.999859
6.4	-0.116549	0.993185
6.5	-0.21512	0.976588
6.6	-0.311541	0.950233
6.7	-0.40485	0.914383
6.8	-0.494113	0.869397
6.9	-0.57844	0.815725
7	-0.656987	0.753902
7.1	-0.728969	0.684547
7.2	-0.793668	0.608351
7.3	-0.850437	0.526078
7.4	-0.898708	0.438547
7.5	-0.938	0.346635
7.6	-0.96792	0.25126
7.7	-0.988168	0.153374
7.8	-0.998543	0.0539554
7.9	-0.998941	-0.0460021
8	-0.989358	-0.1455
8.1	-0.96989	-0.243544
8.2	-0.940731	-0.339155
